Task Name,Task Time,Session Time,Session Start Date,Session End Date,Session Notes
"COM-45: BUG authenticated users can't access profile","0h 30m","0h 22m","2014-11-18 14:00:21","2014-11-18 14:22:36",""
"COM-45: BUG authenticated users can't access profile","0h 30m","0h 1m","2014-11-18 14:00:29","2014-11-18 14:01:29",""
"COM-45: BUG authenticated users can't access profile","0h 30m","0h 7m","2014-11-18 14:14:29","2014-11-18 14:21:29",""
"COM-46: Session tokens don't expire","1h 0m","0h 34m","2014-11-18 14:24:20","2014-11-18 14:59:06",""
"COM-46: Session tokens don't expire","1h 0m","0h 1m","2014-11-18 14:59:00","2014-11-18 15:00:00",""
"COM-46: Session tokens don't expire","1h 0m","0h 10m","2014-11-18 15:15:52","2014-11-18 15:25:59",""
"COM-46: Session tokens don't expire","1h 0m","0h 2m","2014-11-18 15:29:46","2014-11-18 15:32:39",""
"COM-46: Session tokens don't expire","1h 0m","0h 12m","2014-11-18 15:58:26","2014-11-18 16:10:26",""
"Spike: Add Elasticsearch to project","15h 41m","0h 5m","2014-11-19 14:25:03","2014-11-19 14:30:03",""
"Spike: Add Elasticsearch to project","15h 41m","0h 30m","2014-11-19 14:25:13","2014-11-19 14:55:27",""
"Spike: Add Elasticsearch to project","15h 41m","3h 1m","2014-11-19 15:09:27","2014-11-19 18:11:08",""
"Spike: Add Elasticsearch to project","15h 41m","2h 5m","2014-11-19 18:27:04","2014-11-19 20:32:12",""
"Spike: Add Elasticsearch to project","15h 41m","3h 13m","2014-11-19 21:04:04","2014-11-20 00:17:35",""
"Spike: Add Elasticsearch to project","15h 41m","1h 8m","2014-11-20 00:17:44","2014-11-20 01:25:47",""
"Spike: Add Elasticsearch to project","15h 41m","4h 41m","2014-11-20 08:22:35","2014-11-20 13:03:40",""
"Spike: Add Elasticsearch to project","15h 41m","0h 6m","2014-11-20 15:10:49","2014-11-20 15:16:54",""
"Spike: Add Elasticsearch to project","15h 41m","0h 15m","2014-11-20 15:20:26","2014-11-20 15:36:03",""
"Spike: Add Elasticsearch to project","15h 41m","0h 35m","2014-11-20 15:37:19","2014-11-20 16:12:59",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 1m","2014-11-21 10:46:58","2014-11-21 10:47:58",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 9m","2014-11-21 10:47:02","2014-11-21 10:56:59",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 15m","2014-11-21 11:03:27","2014-11-21 11:18:42",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 3m","2014-11-21 11:29:56","2014-11-21 11:33:14",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 52m","2014-11-21 11:36:32","2014-11-21 12:29:31",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 8m","2014-11-21 12:37:32","2014-11-21 12:46:06",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 8m","2014-11-21 12:47:20","2014-11-21 12:56:03",""
"COM-28: Enable anonymous user email sign up","1h 40m","0h 1m","2014-11-21 12:57:13","2014-11-21 12:58:13",""
"COM-56: Refactor search index background worker","1h 2m","0h 1m","2014-11-24 11:44:42","2014-11-24 11:45:42",""
"COM-56: Refactor search index background worker","1h 2m","1h 1m","2014-11-24 11:45:36","2014-11-24 12:46:44",""
"JAM-99: Add background worker for maintaining search indexes","1h 28m","0h 31m","2014-11-24 12:47:04","2014-11-24 13:18:53",""
"JAM-99: Add background worker for maintaining search indexes","1h 28m","0h 6m","2014-11-24 13:22:39","2014-11-24 13:29:23",""
"JAM-99: Add background worker for maintaining search indexes","1h 28m","0h 21m","2014-11-24 14:12:48","2014-11-24 14:34:22",""
"JAM-99: Add background worker for maintaining search indexes","1h 28m","0h 12m","2014-11-24 14:50:36","2014-11-24 15:02:41",""
"JAM-99: Add background worker for maintaining search indexes","1h 28m","0h 16m","2014-11-24 15:04:40","2014-11-24 15:21:29",""
